consumer_id,first_name,last_name,email,brand_id,store_id
38,Erica,Mcwilliams,EricaMcwilliams@hotmail.com,3,5
39,Anjanette,Hartman,AnjanetteHartman@gmail.com,9,4
40,Carmen,Johnson,CarmenJohnson@yahoo.com,2,2
41,Michael,Britt,MichaelBritt@yahoo.com,5,1
42,Joanie,Tripp,JoanieTripp@gmail.com,0,7
43,Micheal,Fernandez,MichealFernandez@yahoo.com,2,8
44,Marisa,Dawes,MarisaDawes@hotmail.com,1,3
45,Luann,Gilbert,LuannGilbert@gmail.com,2,5
46,Michael,Justice,MichaelJustice@hotmail.com,4,2
47,Alethea,Walters,AletheaWalters@gmail.com,0,4
48,Jack,Hayes,JackHayes@yahoo.com,9,7
49,Jewell,Williams,JewellWilliams@yahoo.com,4,2
50,Helen,Manning,HelenManning@gmail.com,1,5
51,Richard,Cuppernell,RichardCuppernell@hotmail.com,7,4
52,Carl,Lancaster,CarlLancaster@hotmail.com,1,5
53,Fredrick,Bailey,FredrickBailey@yahoo.com,0,5
54,Stephanie,Konrad,StephanieKonrad@gmail.com,2,8
55,David,Evans,DavidEvans@gmail.com,1,8
56,Marsha,Quiroga,MarshaQuiroga@hotmail.com,2,10
57,Carmelita,Tilson,CarmelitaTilson@yahoo.com,7,0
58,Angel,Gately,AngelGately@hotmail.com,0,8
59,Elisabeth,Vanleuven,ElisabethVanleuven@gmail.com,2,8
60,Carol,Mcneal,CarolMcneal@hotmail.com,7,3
61,Donald,Austin,DonaldAustin@gmail.com,1,6
62,Emily,Whitehead,EmilyWhitehead@hotmail.com,9,7
63,Rose,Ahumada,RoseAhumada@yahoo.com,6,1
64,Thomas,Anderson,ThomasAnderson@yahoo.com,10,0
65,Thomas,Aguayo,ThomasAguayo@gmail.com,1,0
66,Audrey,Love,AudreyLove@yahoo.com,4,1
67,Anita,Lee,AnitaLee@yahoo.com,7,5
68,Betsy,Rabito,BetsyRabito@hotmail.com,5,9
69,Alfredo,Grammer,AlfredoGrammer@hotmail.com,2,8
70,Nellie,Rener,NellieRener@gmail.com,5,2
71,Robert,Wright,RobertWright@hotmail.com,6,8
72,Margie,Shane,MargieShane@yahoo.com,1,1
73,Dolly,Briggs,DollyBriggs@gmail.com,0,1
74,Lolita,Tadlock,LolitaTadlock@gmail.com,5,1
75,Mary,Myers,MaryMyers@gmail.com,6,9
76,Tamara,Gaskin,TamaraGaskin@yahoo.com,0,9
77,Rebecca,Shelton,RebeccaShelton@yahoo.com,2,8
78,Megan,Mansfield,MeganMansfield@hotmail.com,0,4
79,Sara,Braswell,SaraBraswell@gmail.com,9,2
80,Fred,Smith,FredSmith@hotmail.com,3,5
81,Roxanne,Lopez,RoxanneLopez@hotmail.com,1,0
82,Cathy,Miranda,CathyMiranda@hotmail.com,6,7
83,Emily,Mundy,EmilyMundy@hotmail.com,5,10
84,Paul,Menzel,PaulMenzel@yahoo.com,8,6
85,Thelma,Henning,ThelmaHenning@gmail.com,7,2
86,Donald,Esparza,DonaldEsparza@gmail.com,0,2
87,Laureen,Porter,LaureenPorter@yahoo.com,9,0
88,Theodore,Cassidy,TheodoreCassidy@hotmail.com,6,2
89,Lee,Corella,LeeCorella@yahoo.com,3,10
90,Michael,Baez,MichaelBaez@yahoo.com,8,10
91,Maria,Ryan,MariaRyan@hotmail.com,2,0
92,Louis,Keegan,LouisKeegan@hotmail.com,10,5
93,Susan,Garay,SusanGaray@hotmail.com,8,6
94,Dustin,Salter,DustinSalter@gmail.com,3,3
95,Vanessa,Edwards,VanessaEdwards@yahoo.com,8,2
96,Andrew,Bond,AndrewBond@yahoo.com,7,7
97,Vivian,Stephens,VivianStephens@hotmail.com,5,9
98,Kyle,Boehle,KyleBoehle@yahoo.com,6,1
99,Jose,Miller,JoseMiller@hotmail.com,0,0
100,Ronald,Booth,RonaldBooth@gmail.com,6,6
101,William,Apodaca,WilliamApodaca@hotmail.com,5,6
102,Cynthia,Allen,CynthiaAllen@hotmail.com,7,9
103,Edith,Richardson,EdithRichardson@yahoo.com,3,8
104,Louise,Boisse,LouiseBoisse@gmail.com,5,5
105,Mary,Morgan,MaryMorgan@hotmail.com,8,9
106,Pete,Hall,PeteHall@hotmail.com,8,7
107,Carrie,Brown,CarrieBrown@yahoo.com,4,6
108,Edward,Ochs,EdwardOchs@hotmail.com,10,7
109,Crystal,Bunning,CrystalBunning@gmail.com,9,9
110,Kathryn,Spencer,KathrynSpencer@yahoo.com,9,0
111,Mary,Urias,MaryUrias@gmail.com,9,6
112,Deborah,Shelly,DeborahShelly@hotmail.com,3,7
113,Bridget,Lautenschlage,BridgetLautenschlage@hotmail.com,7,8
114,Doris,Mccue,DorisMccue@yahoo.com,3,8
115,Mary,Hill,MaryHill@hotmail.com,6,2
116,Janice,Ybarra,JaniceYbarra@hotmail.com,7,4
117,Susan,Edwards,SusanEdwards@yahoo.com,8,3
118,Christina,Bueno,ChristinaBueno@hotmail.com,10,8
119,Cora,Harris,CoraHarris@hotmail.com,2,9
120,Ida,Rodino,IdaRodino@hotmail.com,0,6
121,Christopher,Lowder,ChristopherLowder@hotmail.com,0,2
122,Bobby,Todd,BobbyTodd@hotmail.com,3,5
123,Harlan,Hall,HarlanHall@hotmail.com,9,6
124,Shawna,Houston,ShawnaHouston@hotmail.com,9,4
125,Justin,Ervin,JustinErvin@gmail.com,3,0
126,Sarah,Simpson,SarahSimpson@gmail.com,7,2
127,Todd,Flynn,ToddFlynn@hotmail.com,1,4
128,Michael,Foster,MichaelFoster@hotmail.com,6,0
129,Troy,Hill,TroyHill@yahoo.com,1,5
130,David,Reed,DavidReed@hotmail.com,5,0
131,Larry,Little,LarryLittle@yahoo.com,4,0
132,Antonio,Mitchell,AntonioMitchell@yahoo.com,2,9
133,Carrie,Mcchesney,CarrieMcchesney@gmail.com,1,7
134,Luella,Mcroy,LuellaMcroy@yahoo.com,5,4
135,Warren,Boyer,WarrenBoyer@gmail.com,4,10
136,Stacy,Sanchez,StacySanchez@hotmail.com,4,3
137,Maribel,Courtney,MaribelCourtney@yahoo.com,7,8
138,Emily,Dallas,EmilyDallas@yahoo.com,2,5
139,Joan,Aranda,JoanAranda@gmail.com,2,4
140,Maria,Biddle,MariaBiddle@yahoo.com,10,9
141,James,Drew,JamesDrew@yahoo.com,10,5
142,Joseph,Shaw,JosephShaw@gmail.com,7,4
143,Christinia,Matson,ChristiniaMatson@hotmail.com,4,9
144,Rita,Serrato,RitaSerrato@gmail.com,7,5
145,Marshall,Koenig,MarshallKoenig@hotmail.com,9,4
146,Carissa,Garza,CarissaGarza@hotmail.com,8,0
147,Anna,Weller,AnnaWeller@hotmail.com,8,10
148,Jeffrey,Evans,JeffreyEvans@gmail.com,5,10
149,Joseph,Goldberg,JosephGoldberg@gmail.com,4,1
150,Theresa,Melby,TheresaMelby@yahoo.com,10,1
151,Virginia,Matier,VirginiaMatier@hotmail.com,0,0
152,Lisa,Rangel,LisaRangel@hotmail.com,8,0
153,Andria,Thomas,AndriaThomas@hotmail.com,3,4
154,Michael,Moreno,MichaelMoreno@gmail.com,9,2
155,Martha,Eberts,MarthaEberts@gmail.com,5,10
156,Walker,Busch,WalkerBusch@gmail.com,6,6
157,Jason,White,JasonWhite@hotmail.com,9,9
158,Graciela,Farley,GracielaFarley@gmail.com,4,3
159,Susan,Ferguson,SusanFerguson@gmail.com,5,2
160,Richard,Hoag,RichardHoag@gmail.com,1,2
161,Donald,Guajardo,DonaldGuajardo@hotmail.com,2,10
162,Olga,Owen,OlgaOwen@gmail.com,0,10
163,Michael,Yarbrough,MichaelYarbrough@yahoo.com,10,6
164,Geraldine,Tremblay,GeraldineTremblay@yahoo.com,1,4
165,Erika,Mccollum,ErikaMccollum@yahoo.com,2,8
166,Donald,Mcneill,DonaldMcneill@hotmail.com,5,9
167,Robert,Hart,RobertHart@gmail.com,3,4
168,Florence,Padilla,FlorencePadilla@hotmail.com,4,3
169,Lisa,Okuhara,LisaOkuhara@gmail.com,10,1
170,Ernestine,Hastings,ErnestineHastings@gmail.com,6,1
171,James,Moss,JamesMoss@hotmail.com,10,9
172,Abraham,Lynch,AbrahamLynch@gmail.com,7,10
173,Theresa,Palmer,TheresaPalmer@hotmail.com,1,7
174,James,Farris,JamesFarris@yahoo.com,5,9
175,Jackie,Dale,JackieDale@gmail.com,9,3
176,Vivian,Griffin,VivianGriffin@yahoo.com,5,2
177,George,Lawrence,GeorgeLawrence@gmail.com,8,4
178,Joe,Roach,JoeRoach@gmail.com,8,9
179,Jon,Mckinney,JonMckinney@yahoo.com,7,7
180,Ashley,Sheppard,AshleySheppard@hotmail.com,7,4
181,Lane,Mead,LaneMead@hotmail.com,4,6
182,Lesia,Shaw,LesiaShaw@gmail.com,9,7
183,Lacy,Mullen,LacyMullen@yahoo.com,2,3
184,Daniel,Stone,DanielStone@gmail.com,7,0
185,Robert,Fields,RobertFields@yahoo.com,7,5
186,Melva,Lewis,MelvaLewis@yahoo.com,5,6
187,Deborah,Vigil,DeborahVigil@gmail.com,6,5
188,Joshua,Cowan,JoshuaCowan@hotmail.com,9,6
189,Stanley,Ivey,StanleyIvey@yahoo.com,6,6
190,Ashley,Beaumont,AshleyBeaumont@gmail.com,5,8
191,Donald,Jackson,DonaldJackson@gmail.com,6,0
192,Dorothy,Sims,DorothySims@hotmail.com,1,1
193,John,Osborn,JohnOsborn@yahoo.com,7,4
194,Linda,Graham,LindaGraham@yahoo.com,9,8
195,Alice,Barber,AliceBarber@hotmail.com,0,2
196,Mildred,Chapman,MildredChapman@yahoo.com,4,6
197,Elmer,Benedix,ElmerBenedix@yahoo.com,9,3
198,Eric,Cline,EricCline@yahoo.com,1,1
199,David,Nelson,DavidNelson@gmail.com,9,9
